id,id_index,kode_provinsi,nama_provinsi,periode_update,kab_kota,nama_ruas_jalan,kategori,jumlah,satuan,tahun
441,4404,35,JAWA TIMUR,2025,KABUPATEN KEDIRI,BTS. KAB. NGANJUK - BTS. KOTA KEDIRI,LEBAR BAHU KANAN MEMENUHI,10.78,KM,2025
441,4405,35,JAWA TIMUR,2025,KABUPATEN KEDIRI,BTS. KAB. NGANJUK - BTS. KOTA KEDIRI,LEBAR BAHU KANAN TIDAK MEMENUHI,0.0,KM,2025
441,4406,35,JAWA TIMUR,2025,KABUPATEN KEDIRI,BTS. KAB. NGANJUK - BTS. KOTA KEDIRI,LEBAR BAHU KIRI MEMENUHI,10.78,KM,2025
441,4407,35,JAWA TIMUR,2025,KABUPATEN KEDIRI,BTS. KAB. NGANJUK - BTS. KOTA KEDIRI,LEBAR BAHU KIRI TIDAK MEMENUHI,0.0,KM,2025
441,4408,35,JAWA TIMUR,2025,KABUPATEN KEDIRI,BTS. KAB. NGANJUK - BTS. KOTA KEDIRI,LEBAR JALAN MEMENUHI,10.78,KM,2025
441,4409,35,JAWA TIMUR,2025,KABUPATEN KEDIRI,BTS. KAB. NGANJUK - BTS. KOTA KEDIRI,LEBAR JALAN TIDAK MEMENUHI,0.0,KM,2025
441,4410,35,JAWA TIMUR,2025,KABUPATEN KEDIRI,BTS. KAB. NGANJUK - BTS. KOTA KEDIRI,PANJANG JALAN,10.78,KM,2025
442,4411,35,JAWA TIMUR,2025,KABUPATEN KEDIRI,BTS. KOTA KEDIRI - BTS. KAB. BLITAR (SRENGAT),BANGUNAN PELENGKAP,0.0,KM,2025
442,4412,35,JAWA TIMUR,2025,KABUPATEN KEDIRI,BTS. KOTA KEDIRI - BTS. KAB. BLITAR (SRENGAT),KELANDAIAN MEMENUHI,0.0,KM,2025
442,4413,35,JAWA TIMUR,2025,KABUPATEN KEDIRI,BTS. KOTA KEDIRI - BTS. KAB. BLITAR (SRENGAT),KELANDAIAN TIDAK MEMENUHI,0.0,KM,2025
442,4414,35,JAWA TIMUR,2025,KABUPATEN KEDIRI,BTS. KOTA KEDIRI - BTS. KAB. BLITAR (SRENGAT),LEBAR BAHU KANAN MEMENUHI,14.39,KM,2025
442,4415,35,JAWA TIMUR,2025,KABUPATEN KEDIRI,BTS. KOTA KEDIRI - BTS. KAB. BLITAR (SRENGAT),LEBAR BAHU KANAN TIDAK MEMENUHI,0.1,KM,2025
442,4416,35,JAWA TIMUR,2025,KABUPATEN KEDIRI,BTS. KOTA KEDIRI - BTS. KAB. BLITAR (SRENGAT),LEBAR BAHU KIRI MEMENUHI,14.49,KM,2025
442,4417,35,JAWA TIMUR,2025,KABUPATEN KEDIRI,BTS. KOTA KEDIRI - BTS. KAB. BLITAR (SRENGAT),LEBAR BAHU KIRI TIDAK MEMENUHI,0.0,KM,2025
442,4418,35,JAWA TIMUR,2025,KABUPATEN KEDIRI,BTS. KOTA KEDIRI - BTS. KAB. BLITAR (SRENGAT),LEBAR JALAN MEMENUHI,3.89,KM,2025
442,4419,35,JAWA TIMUR,2025,KABUPATEN KEDIRI,BTS. KOTA KEDIRI - BTS. KAB. BLITAR (SRENGAT),LEBAR JALAN TIDAK MEMENUHI,10.6,KM,2025
